IMDB_id,TMDB_id,Title,year,duration,Rating,Votes,Genres,Overview
tt4513678,425909,Ghostbusters: Afterlife,2021,124,7.2,222298,"Adventure, Comedy, Fantasy, Fantasy, Comedy, Adventure","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
,263115,Logan,2017,137,7.8,18596,"Action, Drama, Science Fiction","In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces."
,1016121,Beautiful Disaster,2023,96,6.7,622,"Romance, Drama, Comedy","Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance, Travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. If he wins, Abby must live in his apartment for the same amount of time. Either way, Travis has no idea that Abby’s dark past is about to emerge, and he may have finally met his match."
,609681,The Marvels,2023,105,6.2,2204,"Science Fiction, Adventure, Action","Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe."
,1006540,Bullet Train Down,2022,86,5.4,46,Action,"On its maiden run, the world's fastest bullet train is rigged with a bomb that will explode if it dips below 200 mph."
,906126,Society of the Snow,2023,144,8.1,2466,"Drama, History","On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes."
,474350,It Chapter Two,2019,169,6.8,8373,Horror,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call."
,1205781,Dora: Say Hola to Adventure!,2023,45,7.1,16,"Animation, Family","It’s Dora, the world’s most famous exploradora, like you’ve never seen her before! Join her and ALL her friends for BRAND NEW, magical adventures in the rainforest!"
,15,Citizen Kane,1941,119,8,5275,"Mystery, Drama","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
,1139566,Through My Window 3: Looking at You,2024,105,6.9,375,"Romance, Drama, Comedy","After the events of the summer, Ares and Raquel they don't see a way forward in their relationship and decide to go separate ways. But when they meet again in the winter in Barcelona, the love and desire they feel for each other is undeniable. Will they be able to find a way to get back together?"
